%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-70.15	111.83	2433	382	382	-37.7	NaN	-303.7	-38.3	2.6
-70.44	111.74	2525	412	412	-37.2	NaN	-292.5	-37.2	4.7
-70.75	111.56	2623	444	444	-41.8	NaN	-314.4	-40	5.2
-71.17	111.36	2696	488	488	-43.4	NaN	-312.5	-39.5	3.2
-71.6	111.25	2759	534	534	-44.7	NaN	-336.3	-42.7	5.1
-72.04	110.92	2811	581	581	-46.7	NaN	-343.2	-43.4	4.3
-72.38	110.74	2868	617	617	-47.9	NaN	-337.5	-42.9	5.4
-72.43	110.7	2875	623	623	-48.3	NaN	-352	-44.7	5.8
-72.87	110.49	2945	671	671	-49.8	NaN	-335.9	-42.8	6.2
-73.24	110.46	2986	712	712	-52.9	NaN	-357.1	-45.5	6.6
-73.7	110.2	3046	762	762	-52.2	NaN	-359.5	-45.6	5.2
-74.14	109.83	3093	810	810	-52.4	NaN	-373.7	-47.8	8.7
-69.15	136.22	2425	300	300	-38.03	NaN	-301.88	-37.85	0.95
-70.02	134.84	2500	411	411	-40.76	NaN	-317.93	-40.45	5.7
-71.24	132.6	2735	495	495	-41.95	NaN	-327.54	-41.55	4.87
-71.65	131.82	2843	530	530	-43.31	NaN	-338.79	-42.85	4
-72.7	129.62	3000	634	634	-45.29	NaN	-358.34	-45.62	6.62
-73.39	128.19	3143	710	710	-47.09	NaN	-374.99	-47.81	7.47
-74.15	123.1	3280	819	819	-50.52	NaN	-399.15	-50.99	8.75
-68.55	137.07	2280	226	226	-36.21	NaN	-247.48	-32.52	2.7
-71.99	131.18	2883	562	562	-43.81	NaN	-350.85	-44.5	5.19
-72.77	129.47	3005	641	641	-45.35	NaN	-378.62	-48.49	9.32
-74.36	125.46	3143	826	826	-49.07	NaN	-395.34	-50.8	11.09
-70.21	134.82	2500	430	430	-40.76	NaN	-305.06	-38.94	6.23
-77.08	94.5	3800	1225	1014	-59.2	NaN	NaN	-55.33	NaN
-76.84	94.8	3740	1145	1001	-58.44	NaN	NaN	-53.96	NaN
