%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-71.23616667	-8.533	70	NaN	-24.31	NaN	-18.3
-71.24025	132.5984806	2735	1995-01-01	-41.55	-327.54	-42
-71.24545	158.4618167	2070	2002-01-01	-32.41	-256.41	-34.8
-71.25	64.5	2010	NaN	-25.43	NaN	-23.7
-71.25066389	-8.653219444	70	NaN	NaN	NaN	-18.3
-71.2534	11.12266667	1315	NaN	-28.85	NaN	NaN
-71.254	142.25085	2176	2002-01-01	-39.34	-308.82	-41.7
-71.28	-65.72	1650	1990-01-01	-25	-195.2	-20.7
-71.28194167	46.31	2596	1974-01-01	-42.4	NaN	-38.2
-71.28608611	59.20720278	2616	1990-01-01	-41.02	-321.98	-40.8
-71.28333333	67.48333056	290	NaN	-13.19	NaN	-8.4
-71.33	96.02	3090	1990-01-01	-44.6	-351	-43.9
-71.33158333	158.5580167	2102	2002-01-01	-31.31	-247.49	-35.4
-71.35397778	132.437875	2700	1973-01-01	NaN	-332.9	-44.2
-71.36068333	77.51138611	2133	1990-01-01	-36.3	-288.11	-30.7
-71.38333056	65.5	1547	NaN	-23.9	NaN	-20
-71.38695	142.95665	2164	2002-01-01	-42.84	-336.07	-41.6
-71.40166667	-8.347166667	75	NaN	-24.16	-187.04	-18.3
-71.41691667	158.5865333	2121	2002-01-01	-33.89	-268.64	-35.7
-71.44218333	143.31225	2155	2002-01-01	-40.52	-319.18	-41.8
-71.45156667	-9.85745	630	NaN	-20.12	NaN	NaN
-71.4675	57.80694444	2818	1990-01-01	-39.9	-312	NaN
-71.47770278	96.16246667	2110	1988-01-01	-34	NaN	-37.9
-71.48333056	66.96666667	946	NaN	-18	NaN	-13.1
-71.49838333	143.6991833	2147	2002-01-01	-37.32	-293.01	-42.1
-71.51838333	158.6198	2148	2002-01-01	-33.62	-266.04	-36.2
-71.53568889	-8.280602778	78	NaN	-23.98	NaN	NaN
-71.55256667	144.0864333	2159	2002-01-01	-34.18	-271.36	-41.6
-71.57091667	59.16203056	2582	1990-01-01	-40.98	-321.75	-40.9
-71.58333333	111.25	2759	1984-01-01	-42.7	-336.3	-44.7
-71.603	111.252	2759	NaN	-40.6	NaN	-44.7
-71.60441667	144.4591167	2143	2002-01-01	-37.44	-297.06	-42.3
-71.60561667	158.6512167	2169	2002-01-01	-34.28	-270.19	-36.6
-71.60643611	99.00522778	3184	1985-01-01	-46.08	-361.32	-47.2
-71.62053611	77.73090833	2209	1990-01-01	-36.61	-289.52	-31.7
-71.63333056	101.8333306	2979	NaN	-43.23	NaN	-47.5
-71.6406	101.828	NaN	NaN	-42.55	-333.03	NaN
-71.65033056	131.8176	2843	1995-01-01	-42.85	-338.79	-43.3
-71.66025	144.86795	2144	2002-01-01	-38.21	-302.13	-42.3
-71.68383333	-8.5	113	NaN	-26.15	-206.15	-18.3
-71.69491667	158.6446333	2177	2002-01-01	-33.24	-263.15	-36.8
-71.7	64.08333056	1886	NaN	-24.72	NaN	-20.4
-71.7	96.28	3180	1990-01-01	-44.3	-353.4	-45.3
-71.70093889	131.7512278	2770	1973-01-01	NaN	-331.5	-45.6
-71.71	145.26	2143	2002-01-01	-38.43	NaN	-42.3
-71.7117	145.2631	2143	2002-01-01	-42.49	-333.96	-42.3
-71.725	48.67666667	2880	1974-01-01	-44.8	NaN	-42.4
-71.78408333	158.5947667	2177	2002-01-01	-33.91	-267.61	-36.8
-71.8112	145.5749667	2146	2002-01-01	-37.42	-297.91	-42.4
-71.832	-8.611333333	298	NaN	NaN	-185.46	-18.9
-71.832	-8.611333333	298	NaN	-26.43	-206.89	-18.9
-71.8325	44.7625	2613	1974-01-01	-44.5	NaN	NaN
-71.83333056	140.25	2470	NaN	-42.5	NaN	-44.2
-71.85083611	59.30881944	2504	1990-01-01	-41.2	-322.44	-39.8
-71.880825	77.95130278	2325	1990-01-01	-38.62	-306.51	-33.1
-71.88333056	77.43333056	2325	1996-01-01	-38.3	NaN	NaN
-71.887	158.5369333	2185	2002-01-01	-34.29	-273.01	-36.9
-71.89	158.53	2184	2002-01-01	-35.61	NaN	-36.9
-71.8972	103.308	NaN	NaN	-42.8	-337.9	NaN
